Running GRASP with dataset_size=100, alpha=0.90, iterations=1000
Running GRASP with dataset_size=100, alpha=0.90, iterations=4000
Running GRASP with dataset_size=100, alpha=0.90, iterations=7000
Running GRASP with dataset_size=100, alpha=0.90, iterations=10000
Running GRASP with dataset_size=100, alpha=0.91, iterations=1000
Running GRASP with dataset_size=100, alpha=0.91, iterations=4000
Running GRASP with dataset_size=100, alpha=0.91, iterations=7000
Running GRASP with dataset_size=100, alpha=0.91, iterations=10000
Running GRASP with dataset_size=100, alpha=0.92, iterations=1000
Running GRASP with dataset_size=100, alpha=0.92, iterations=4000
Running GRASP with dataset_size=100, alpha=0.92, iterations=7000
Running GRASP with dataset_size=100, alpha=0.92, iterations=10000
Running GRASP with dataset_size=100, alpha=0.93, iterations=1000
Running GRASP with dataset_size=100, alpha=0.93, iterations=4000
Running GRASP with dataset_size=100, alpha=0.93, iterations=7000
Running GRASP with dataset_size=100, alpha=0.93, iterations=10000
Running GRASP with dataset_size=100, alpha=0.94, iterations=1000
Running GRASP with dataset_size=100, alpha=0.94, iterations=4000
Running GRASP with dataset_size=100, alpha=0.94, iterations=7000
Running GRASP with dataset_size=100, alpha=0.94, iterations=10000
Running GRASP with dataset_size=100, alpha=0.95, iterations=1000
Running GRASP with dataset_size=100, alpha=0.95, iterations=4000
Running GRASP with dataset_size=100, alpha=0.95, iterations=7000
Running GRASP with dataset_size=100, alpha=0.95, iterations=10000
Running GRASP with dataset_size=100, alpha=0.96, iterations=1000
Running GRASP with dataset_size=100, alpha=0.96, iterations=4000
Running GRASP with dataset_size=100, alpha=0.96, iterations=7000
Running GRASP with dataset_size=100, alpha=0.96, iterations=10000
Running GRASP with dataset_size=100, alpha=0.97, iterations=1000
Running GRASP with dataset_size=100, alpha=0.97, iterations=4000
Running GRASP with dataset_size=100, alpha=0.97, iterations=7000
Running GRASP with dataset_size=100, alpha=0.97, iterations=10000
Running GRASP with dataset_size=100, alpha=0.98, iterations=1000
Running GRASP with dataset_size=100, alpha=0.98, iterations=4000
Running GRASP with dataset_size=100, alpha=0.98, iterations=7000
Running GRASP with dataset_size=100, alpha=0.98, iterations=10000
Running GRASP with dataset_size=100, alpha=0.99, iterations=1000
Running GRASP with dataset_size=100, alpha=0.99, iterations=4000
Running GRASP with dataset_size=100, alpha=0.99, iterations=7000
Running GRASP with dataset_size=100, alpha=0.99, iterations=10000
Running GRASP with dataset_size=100, alpha=1.00, iterations=1000
Running GRASP with dataset_size=100, alpha=1.00, iterations=4000
Running GRASP with dataset_size=100, alpha=1.00, iterations=7000
Running GRASP with dataset_size=100, alpha=1.00, iterations=10000
Best result: 1796.81 with parameters: dataset_size=100, alpha=0.25, iterations=4000
