Dataset Size,Mutation Rate,Population,Iterations,Result
100,0.19,200,7000,1883.65
100,0.19,200,10000,1883.65
100,0.19,250,1000,2002.17
100,0.19,250,4000,1917.72
100,0.19,250,7000,1917.72
100,0.19,250,10000,1917.72
100,0.20,50,1000,2214.85
100,0.20,50,4000,1995.22
100,0.20,50,7000,1990.17
100,0.20,50,10000,1925.02
100,0.20,100,1000,2143.29
100,0.20,100,4000,1931.26
100,0.20,100,7000,1903.49
100,0.20,100,10000,1899.32
100,0.20,150,1000,2161.17
100,0.20,150,4000,1952.27
100,0.20,150,7000,1947.6
100,0.20,150,10000,1947.6
100,0.20,200,1000,1993.74
100,0.20,200,4000,1912.49
100,0.20,200,7000,1873.48
100,0.20,200,10000,1873.48
100,0.20,250,1000,1964.9
100,0.20,250,4000,1883.66
100,0.20,250,7000,1865.28
100,0.20,250,10000,1865.28
100,0.21,50,1000,2322.18
100,0.21,50,4000,2172.02
100,0.21,50,7000,2150.18
100,0.21,50,10000,2087.84
100,0.21,100,1000,2175.5
100,0.21,100,4000,2071.4
100,0.21,100,7000,2053.76
100,0.21,100,10000,2029.38
100,0.21,150,1000,2093.03
100,0.21,150,4000,1909.05
100,0.21,150,7000,1883.35
100,0.21,150,10000,1883.35
100,0.21,200,1000,2067.34
100,0.21,200,4000,1911.98
100,0.21,200,7000,1878.08
100,0.21,200,10000,1877.03
100,0.21,250,1000,1931.24
100,0.21,250,4000,1876.81
100,0.21,250,7000,1860.52
100,0.21,250,10000,1856.88
100,0.22,50,1000,2310.26
100,0.22,50,4000,2079.78
100,0.22,50,7000,2042.27
100,0.22,50,10000,2042.27
100,0.22,100,1000,2148.87
100,0.22,100,4000,1963.62
100,0.22,100,7000,1946.55
100,0.22,100,10000,1946.55
100,0.22,150,1000,2173.84
100,0.22,150,4000,1894.24
100,0.22,150,7000,1894.24
100,0.22,150,10000,1894.24
100,0.22,200,1000,2061.01
100,0.22,200,4000,1920.23
100,0.22,200,7000,1916.36
100,0.22,200,10000,1916.22
100,0.22,250,1000,1986.26
100,0.22,250,4000,1912.96
100,0.22,250,7000,1912.96
100,0.22,250,10000,1912.96
100,0.23,50,1000,2398.57
100,0.23,50,4000,2020.95
100,0.23,50,7000,2020.45
100,0.23,50,10000,2020.45
100,0.23,100,1000,2108.65
100,0.23,100,4000,1898.54
100,0.23,100,7000,1883.05
100,0.23,100,10000,1883.05
100,0.23,150,1000,2120.06
100,0.23,150,4000,1879.15
100,0.23,150,7000,1879.15
100,0.23,150,10000,1879.15
100,0.23,200,1000,2062.01
100,0.23,200,4000,1915.63
100,0.23,200,7000,1892.76
100,0.23,200,10000,1876.32
100,0.23,250,1000,1995.15
100,0.23,250,4000,1908.18
100,0.23,250,7000,1905.48
100,0.23,250,10000,1887.87
100,0.24,50,1000,2379.86
100,0.24,50,4000,2191.43
100,0.24,50,7000,2069.39
100,0.24,50,10000,2059.42
100,0.24,100,1000,2206.0
100,0.24,100,4000,1932.77
100,0.24,100,7000,1902.88
100,0.24,100,10000,1902.88
100,0.24,150,1000,2050.83
100,0.24,150,4000,1881.0
100,0.24,150,7000,1875.91
100,0.24,150,10000,1873.51
100,0.24,200,1000,2028.2
100,0.24,200,4000,1975.29
100,0.24,200,7000,1971.88
100,0.24,200,10000,1962.0
100,0.24,250,1000,1984.62
100,0.24,250,4000,1897.9
100,0.24,250,7000,1889.72
100,0.24,250,10000,1867.52

Best Result
Dataset Size,Mutation Rate,Population,Iterations,Result
100,0.15,250,7000,1836.8
