Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,50,2.60,3.00,0.40,5,200,1889.0
100,50,2.60,3.00,0.40,10,200,1889.0
100,50,2.60,3.00,0.40,15,200,1924.0
100,50,2.60,3.00,0.70,0,200,2751.0
100,50,2.60,3.00,0.70,5,200,1892.0
100,50,2.60,3.00,0.70,10,200,1881.0
100,50,2.60,3.00,0.70,15,200,1873.0
100,50,2.60,3.00,1.00,0,200,2751.0
100,50,2.60,3.00,1.00,5,200,2017.0
100,50,2.60,3.00,1.00,10,200,1896.0
100,50,2.60,3.00,1.00,15,200,1871.0
100,50,2.60,4.00,0.10,0,200,2344.0
100,50,2.60,4.00,0.10,5,200,1917.0
100,50,2.60,4.00,0.10,10,200,1897.0
100,50,2.60,4.00,0.10,15,200,1891.0
100,50,2.60,4.00,0.40,0,200,2320.0
100,50,2.60,4.00,0.40,5,200,1896.0
100,50,2.60,4.00,0.40,10,200,1859.0
100,50,2.60,4.00,0.40,15,200,1860.0
100,50,2.60,4.00,0.70,0,200,2320.0
100,50,2.60,4.00,0.70,5,200,1876.0
100,50,2.60,4.00,0.70,10,200,1868.0
100,50,2.60,4.00,0.70,15,200,1846.0
100,50,2.60,4.00,1.00,0,200,2320.0
100,50,2.60,4.00,1.00,5,200,1893.0
100,50,2.60,4.00,1.00,10,200,1856.0
100,50,2.60,4.00,1.00,15,200,1842.0
100,50,2.60,5.00,0.10,0,200,2135.0
100,50,2.60,5.00,0.10,5,200,1889.0
100,50,2.60,5.00,0.10,10,200,1893.0
100,50,2.60,5.00,0.10,15,200,1919.0
100,50,2.60,5.00,0.40,0,200,2135.0
100,50,2.60,5.00,0.40,5,200,1877.0
100,50,2.60,5.00,0.40,10,200,1879.0
100,50,2.60,5.00,0.40,15,200,1894.0
100,50,2.60,5.00,0.70,0,200,2135.0
100,50,2.60,5.00,0.70,5,200,1846.0
100,50,2.60,5.00,0.70,10,200,1889.0
100,50,2.60,5.00,0.70,15,200,1891.0
100,50,2.60,5.00,1.00,0,200,2135.0
100,50,2.60,5.00,1.00,5,200,1853.0
100,50,2.60,5.00,1.00,10,200,1847.0
100,50,2.60,5.00,1.00,15,200,1839.0
100,100,0.10,1.00,0.10,0,200,4751.0
100,100,0.10,1.00,0.10,5,200,4223.0
100,100,0.10,1.00,0.10,10,200,4201.0
100,100,0.10,1.00,0.10,15,200,4117.0
100,100,0.10,1.00,0.40,0,200,4751.0
100,100,0.10,1.00,0.40,5,200,4544.0
100,100,0.10,1.00,0.40,10,200,4523.0
100,100,0.10,1.00,0.40,15,200,4522.0
100,100,0.10,1.00,0.70,0,200,4751.0
100,100,0.10,1.00,0.70,5,200,4596.0
100,100,0.10,1.00,0.70,10,200,4590.0
100,100,0.10,1.00,0.70,15,200,4520.0
100,100,0.10,1.00,1.00,0,200,4751.0
100,100,0.10,1.00,1.00,5,200,4694.0
100,100,0.10,1.00,1.00,10,200,4718.0
100,100,0.10,1.00,1.00,15,200,4472.0
100,100,0.10,2.00,0.10,0,200,3458.0
100,100,0.10,2.00,0.10,5,200,2856.0
100,100,0.10,2.00,0.10,10,200,2725.0
100,100,0.10,2.00,0.10,15,200,2902.0
100,100,0.10,2.00,0.40,0,200,3458.0
100,100,0.10,2.00,0.40,5,200,3138.0
100,100,0.10,2.00,0.40,10,200,3081.0
100,100,0.10,2.00,0.40,15,200,3147.0
100,100,0.10,2.00,0.70,0,200,3458.0
100,100,0.10,2.00,0.70,5,200,3298.0
100,100,0.10,2.00,0.70,10,200,3280.0
100,100,0.10,2.00,0.70,15,200,3278.0
100,100,0.10,2.00,1.00,0,200,3458.0
100,100,0.10,2.00,1.00,5,200,3388.0
100,100,0.10,2.00,1.00,10,200,3420.0
100,100,0.10,2.00,1.00,15,200,3216.0
100,100,0.10,3.00,0.10,0,200,2686.0
100,100,0.10,3.00,0.10,5,200,2342.0
100,100,0.10,3.00,0.10,10,200,2359.0
100,100,0.10,3.00,0.10,15,200,2299.0
100,100,0.10,3.00,0.40,0,200,2686.0
100,100,0.10,3.00,0.40,5,200,2467.0
100,100,0.10,3.00,0.40,10,200,2447.0
100,100,0.10,3.00,0.40,15,200,2467.0
100,100,0.10,3.00,0.70,0,200,2686.0
100,100,0.10,3.00,0.70,5,200,2525.0
100,100,0.10,3.00,0.70,10,200,2536.0
100,100,0.10,3.00,0.70,15,200,2564.0
100,100,0.10,3.00,1.00,0,200,2686.0
100,100,0.10,3.00,1.00,5,200,2593.0
100,100,0.10,3.00,1.00,10,200,2600.0
100,100,0.10,3.00,1.00,15,200,2647.0
100,100,0.10,4.00,0.10,0,200,2258.0
100,100,0.10,4.00,0.10,5,200,2141.0
100,100,0.10,4.00,0.10,10,200,2148.0
100,100,0.10,4.00,0.10,15,200,2131.0
100,100,0.10,4.00,0.40,0,200,2258.0
100,100,0.10,4.00,0.40,5,200,2115.0
100,100,0.10,4.00,0.40,10,200,2088.0
100,100,0.10,4.00,0.40,15,200,2130.0
100,100,0.10,4.00,0.70,0,200,2258.0
100,100,0.10,4.00,0.70,5,200,2202.0
100,100,0.10,4.00,0.70,10,200,2239.0
100,100,0.10,4.00,0.70,15,200,2194.0
100,100,0.10,4.00,1.00,0,200,2258.0
100,100,0.10,4.00,1.00,5,200,2329.0
100,100,0.10,4.00,1.00,10,200,2276.0
100,100,0.10,4.00,1.00,15,200,2276.0
100,100,0.10,5.00,0.10,0,200,2135.0
100,100,0.10,5.00,0.10,5,200,2015.0
100,100,0.10,5.00,0.10,10,200,1975.0
100,100,0.10,5.00,0.10,15,200,2028.0
100,100,0.10,5.00,0.40,0,200,2135.0
100,100,0.10,5.00,0.40,5,200,2064.0
100,100,0.10,5.00,0.40,10,200,2074.0
100,100,0.10,5.00,0.40,15,200,2029.0
100,100,0.10,5.00,0.70,0,200,2135.0
