Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,30,0.10,1.50,0.10,13,150,2862.0
100,30,0.10,1.50,0.10,13,200,2862.0
100,30,0.10,1.50,0.20,1,50,3228.0
100,30,0.10,1.50,0.20,1,100,3228.0
100,30,0.10,1.50,0.20,1,150,3082.0
100,30,0.10,1.50,0.20,1,200,3081.0
100,30,0.10,1.50,0.20,3,50,3329.0
100,30,0.10,1.50,0.20,3,100,3152.0
100,30,0.10,1.50,0.20,3,150,3004.0
100,30,0.10,1.50,0.20,3,200,3004.0
100,30,0.10,1.50,0.20,5,50,3336.0
100,30,0.10,1.50,0.20,5,100,3135.0
100,30,0.10,1.50,0.20,5,150,3135.0
100,30,0.10,1.50,0.20,5,200,2826.0
100,30,0.10,1.50,0.20,7,50,3310.0
100,30,0.10,1.50,0.20,7,100,3069.0
100,30,0.10,1.50,0.20,7,150,3069.0
100,30,0.10,1.50,0.20,7,200,3069.0
100,30,0.10,1.50,0.20,9,50,3327.0
100,30,0.10,1.50,0.20,9,100,3051.0
100,30,0.10,1.50,0.20,9,150,3051.0
100,30,0.10,1.50,0.20,9,200,3051.0
100,30,0.10,1.50,0.20,11,50,3292.0
100,30,0.10,1.50,0.20,11,100,3108.0
100,30,0.10,1.50,0.20,11,150,3029.0
100,30,0.10,1.50,0.20,11,200,3029.0
100,30,0.10,1.50,0.20,13,50,3212.0
100,30,0.10,1.50,0.20,13,100,3092.0
100,30,0.10,1.50,0.20,13,150,3092.0
100,30,0.10,1.50,0.20,13,200,3092.0
100,30,0.10,1.50,0.30,1,50,3563.0
100,30,0.10,1.50,0.30,1,100,3153.0
100,30,0.10,1.50,0.30,1,150,3153.0
100,30,0.10,1.50,0.30,1,200,3153.0
100,30,0.10,1.50,0.30,3,50,3498.0
100,30,0.10,1.50,0.30,3,100,3312.0
100,30,0.10,1.50,0.30,3,150,3195.0
100,30,0.10,1.50,0.30,3,200,3150.0
100,30,0.10,1.50,0.30,5,50,3398.0
100,30,0.10,1.50,0.30,5,100,3242.0
100,30,0.10,1.50,0.30,5,150,3242.0
100,30,0.10,1.50,0.30,5,200,3182.0
100,30,0.10,1.50,0.30,7,50,3383.0
100,30,0.10,1.50,0.30,7,100,3048.0
100,30,0.10,1.50,0.30,7,150,3048.0
100,30,0.10,1.50,0.30,7,200,3048.0
100,30,0.10,1.50,0.30,9,50,3412.0
100,30,0.10,1.50,0.30,9,100,3277.0
100,30,0.10,1.50,0.30,9,150,3261.0
100,30,0.10,1.50,0.30,9,200,3095.0
100,30,0.10,1.50,0.30,11,50,3342.0
